Sub-County,Total*,per cent,Male,per cent,Female,per cent
KIPKELION,"14,684",13.1,"9,578",17.1,"5,106",9.1
LONDIANI,"21,376",16.9,"13,179",20.9,"8,196",12.8
SOIN SIGOWET,"16,736",14.3,"10,243",17.6,"6,492",11.0
BOMET,"134,885",16.6,"83,163",20.8,"51,721",12.6
BOMET EAST,"17,556",13.2,"10,829",16.6,"6,727",10.0
CHEPALUNGU,"19,724",12.9,"12,480",16.9,"7,244",9.2
KONOIN,"29,201",19.2,"18,570",24.0,"10,631",14.2
SOTIK,"35,958",17.0,"21,781",21.0,"14,177",13.2
BOMET CENTRAL,"32,446",20.1,"19,503",24.2,"12,942",16.0
KAKAMEGA,"250,964",14.5,"139,101",16.8,"111,859",12.4
BUTERE,"17,915",12.5,"10,077",14.7,"7,838",10.4
KAKAMEGA CENTRAL,"52,016",30.1,"27,947",33.0,"24,068",27.2
KAKAMEGA EAST,"20,737",13.3,"11,428",15.4,"9,308",11.5
KAKAMEGA NORTH,"27,593",12.5,"15,809",14.8,"11,784",10.3
KAKAMEGA SOUTH,"13,893",13.3,"7,528",15.2,"6,365",11.6
KHWISERO,"12,490",11.8,"6,916",13.8,"5,574",9.9
LIKUYANI,"22,255",15.7,"12,118",17.7,"10,137",13.9
LUGARI,"16,347",14.3,"9,107",16.6,"7,240",12.2
MATETE,"7,382",12.0,"4,000",13.6,"3,382",10.6
MATUNGU,"15,479",10.0,"8,804",12.1,"6,674",8.2
MUMIAS EAST,"14,066",13.0,"8,059",15.6,"6,007",10.6
MUMIAS WEST,"16,207",15.2,"8,912",17.6,"7,295",13.0
NAVAKHOLO,"14,584",10.2,"8,396",12.4,"6,187",8.2
VIHIGA,"77,622",14.1,"41,756",15.8,"35,864",12.5
EMUHAYA,"10,609",11.7,"5,741",13.2,"4,867",10.3
VIHIGA,"14,412",16.3,"7,716",18.2,"6,695",14.5
SABATIA,"18,891",15.4,"10,084",17.2,"8,807",13.7
LUANDA,"14,055",14.2,"7,577",15.9,"6,478",12.7
HAMISI,"19,653",13.2,"10,637",14.8,"9,016",11.7
KAKAMEGA FOREST,2,12.5,1,8.3,1,25.0
BUNGOMA,"212,520",13.8,"119,213",16.0,"93,303",11.8
BUMULA,"19,349",9.7,"11,097",11.6,"8,252",7.9
BUNGOMA CENTRAL,"21,310",13.0,"12,282",15.5,"9,026",10.7
BUNGOMA EAST,"17,213",16.2,"9,468",18.4,"7,745",14.2
BUNGOMA NORTH,"14,858",13.3,"8,346",15.4,"6,512",11.3
BUNGOMA SOUTH,"56,612",21.5,"30,427",24.0,"26,184",19.2
CHEPTAIS,"10,373",8.3,"6,441",10.4,"3,932",6.3
KIMILILI,"20,753",13.9,"11,379",15.7,"9,373",12.1
MT. ELGON,"7,725",10.6,"4,725",13.2,"3,000",8.2
BUNGOMA WEST,"11,471",10.4,"6,769",12.6,"4,702",8.2
TONGAREN,"12,671",13.6,"7,112",15.8,"5,559",11.6
WEBUYE WEST,"20,026",14.3,"11,059",16.2,"8,967",12.4
Mt. ELGON FOREST,159,4.9,108,6.4,51,3.3
BUSIA,"110,560",13.5,"63,352",16.3,"47,207",10.9
BUNYALA,"11,179",14.0,"6,972",18.3,"4,207",10.2
BUSIA,"22,258",17.4,"12,254",20.1,"10,004",14.9
BUTULA,"13,519",10.4,"7,491",12.5,"6,027",8.6
NAMBALE,"12,317",11.9,"6,882",14.1,"5,435",10.0
SAMIA,"12,910",13.0,"7,744",16.5,"5,166",9.9
TESO NORTH,"17,790",14.1,"10,258",16.9,"7,532",11.4
TESO SOUTH,"20,587",13.3,"11,751",15.9,"8,836",10.9
SIAYA,"137,402",14.9,"76,966",17.7,"60,433",12.5
SIAYA,"31,733",15.3,"17,490",18.0,"14,243",12.9
GEM,"22,169",13.3,"12,537",15.8,"9,631",11.0
UGENYA,"15,551",12.4,"8,709",15.0,"6,840",10.2
UGUNJA,"14,677",15.1,"8,093",17.9,"6,584",12.7
BONDO,"33,258",18.3,"18,933",21.5,"14,325",15.3
